TEAM,PLAYER
San Antonio Spurs,Doug McDermott
San Antonio Spurs,Thaddeus Young
San Antonio Spurs,Keita Bates Diop
San Antonio Spurs,Jakob Poeltl
San Antonio Spurs,Jock Landale
San Antonio Spurs,Joshua Primo
San Antonio Spurs,Joe Wieskamp
San Antonio Spurs,Devontae Cacok
San Antonio Spurs,Zach Collins
San Antonio Spurs,Jaylen Morris
San Antonio Spurs,Denzel Mahoney
Toronto Raptors,OG Anunoby
Toronto Raptors,Gary Trent Jr
Toronto Raptors,Svi Mykhailiuk
Toronto Raptors,Dalano Banton
Toronto Raptors,Fred VanVleet
Toronto Raptors,Chris Boucher
Toronto Raptors,Scottie Barnes
Toronto Raptors,Precious Achiuwa
Toronto Raptors,Khem Birch
Toronto Raptors,Malachi Flynn
Toronto Raptors,Goran Dragic
Toronto Raptors,Justin Champagnie
Toronto Raptors,Pascal Siakam
Toronto Raptors,Isaac Bonga
Toronto Raptors,David Johnson
Toronto Raptors,Yuta Watanabe
Utah Jazz,Bojan Bogdanovic
Utah Jazz,Jordan Clarkson
Utah Jazz,Rudy Gobert
Utah Jazz,Joe Ingles
Utah Jazz,Royce O'Neale
Utah Jazz,Hassan Whiteside
Utah Jazz,Eric Paschall
Utah Jazz,Donovan Mitchell
Utah Jazz,Mike Conley
Utah Jazz,Jared Butler
Utah Jazz,Trent Forrest
Utah Jazz,Miye Oni
Utah Jazz,Elijah Hughes
Utah Jazz,Udoka Azubuike
Utah Jazz,Malik Fitts
Utah Jazz,Rudy Gay
Washington Wizards,Montrezl Harrell
Washington Wizards,Kyle Kuzma
Washington Wizards,Kentavious Caldwell Pope
Washington Wizards,Aaron Holiday
Washington Wizards,Deni Avdija
Washington Wizards,Spencer Dinwiddie
Washington Wizards,Raul Neto
Washington Wizards,Corey Kispert
Washington Wizards,Daniel Gafford
Washington Wizards,Bradley Beal
Washington Wizards,Davis Bertans
Washington Wizards,Anthony Gill
Washington Wizards,Isaiah Todd
Washington Wizards,Joel Ayayi
Washington Wizards,Rui Hachimura
Washington Wizards,Cassius Winston
Washington Wizards,Thomas Bryant
